IP,Time,URL,Staus
10.131.2.1/4334,29/Nov/2017:16:18:13,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.131.2.1/961,29/Nov/2017:16:18:16,GET /home.php HTTP/1.1,200
10.131.2.1/9175,29/Nov/2017:16:21:26,GET / HTTP/1.1,200
10.131.0.1/7406,29/Nov/2017:16:21:36,GET / HTTP/1.1,302
10.131.0.1/587,29/Nov/2017:16:21:37,GET /login.php HTTP/1.1,200
10.131.0.1/2570,29/Nov/2017:16:21:37,GET /css/bootstrap.min.css HTTP/1.1,200
10.131.2.1/3980,29/Nov/2017:16:21:37,GET /css/normalize.css HTTP/1.1,200
10.130.2.1/8215,29/Nov/2017:16:21:37,GET /css/font-awesome.min.css HTTP/1.1,200
10.131.2.1/7315,29/Nov/2017:16:21:38,GET /css/main.css HTTP/1.1,200
10.131.0.1/7131,29/Nov/2017:16:21:38,GET /css/style.css HTTP/1.1,200
10.130.2.1/6763,29/Nov/2017:16:21:38,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.131.2.1/1454,29/Nov/2017:16:21:38,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.130.2.1/3067,29/Nov/2017:16:21:38,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.131.2.1/1359,29/Nov/2017:16:21:41,GET / HTTP/1.1,302
10.131.0.1/3278,29/Nov/2017:16:21:42,GET /login.php HTTP/1.1,200
10.131.2.1/3317,29/Nov/2017:16:21:42,GET / HTTP/1.1,302
10.131.2.1/1188,29/Nov/2017:16:21:42,GET /css/bootstrap.min.css HTTP/1.1,200
10.129.2.1/6101,29/Nov/2017:16:21:42,GET /css/font-awesome.min.css HTTP/1.1,200
10.131.0.1/7761,29/Nov/2017:16:21:43,GET /css/normalize.css HTTP/1.1,200
10.128.2.1/5246,29/Nov/2017:16:21:43,GET /login.php HTTP/1.1,200
10.129.2.1/5139,29/Nov/2017:16:21:43,GET /css/main.css HTTP/1.1,200
10.131.2.1/3966,29/Nov/2017:16:21:43,GET /css/style.css HTTP/1.1,200
10.131.2.1/522,29/Nov/2017:16:21:44,GET /css/bootstrap.min.css HTTP/1.1,200
10.129.2.1/776,29/Nov/2017:16:21:44,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.128.2.1/3344,29/Nov/2017:16:21:44,GET /css/font-awesome.min.css HTTP/1.1,200
10.131.2.1/497,29/Nov/2017:16:21:44,GET /css/normalize.css HTTP/1.1,200
10.131.0.1/1505,29/Nov/2017:16:21:44,GET /css/main.css HTTP/1.1,200
10.131.2.1/6165,29/Nov/2017:16:21:44,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.129.2.1/7661,29/Nov/2017:16:21:44,GET /css/style.css HTTP/1.1,200
10.131.2.1/1161,29/Nov/2017:16:21:44,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.131.0.1/483,29/Nov/2017:16:21:44,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.129.2.1/5899,29/Nov/2017:16:21:45,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.131.2.1/4454,29/Nov/2017:16:21:45,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.131.0.1/5621,29/Nov/2017:16:21:45,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.131.0.1/9254,29/Nov/2017:16:21:47,GET / HTTP/1.1,302
10.131.2.1/964,29/Nov/2017:16:21:48,GET /login.php HTTP/1.1,200
10.131.0.1/6444,29/Nov/2017:16:21:49,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.128.2.1/5219,29/Nov/2017:16:21:57,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.128.2.1/6748,29/Nov/2017:16:22:07,GET /login.php HTTP/1.1,200
10.131.0.1/5238,29/Nov/2017:16:22:20,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302
10.130.2.1/7315,29/Nov/2017:16:22:20,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.130.2.1/1500,29/Nov/2017:16:22:24,GET /home.php HTTP/1.1,200
10.128.2.1/6650,29/Nov/2017:16:22:31,POST /process.php HTTP/1.1,302
10.128.2.1/7571,29/Nov/2017:16:22:31,GET /home.php HTTP/1.1,200
10.128.2.1/1564,29/Nov/2017:16:22:32,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200
10.131.0.1/4703,29/Nov/2017:16:22:32,GET /js/vendor/moment.min.js HTTP/1.1,200
10.131.0.1/2276,29/Nov/2017:16:22:38,GET / HTTP/1.1,302
10.129.2.1/202,29/Nov/2017:16:22:39,GET /login.php HTTP/1.1,200
